label,text
spam,Earn $500 per day from home with no experience. Register now!
spam,URGENT: Your account will be blocked. Verify your details using this link.
spam,Work from home and make money fast. Sign up today.
spam,Your bank account has been suspended. Confirm your password immediately.
spam,Act now to receive a guaranteed cash reward.
spam,Limited offer: make thousands every week without investment.
spam,Security alert: click the link to prevent your account from being closed.
spam,Your payment failed. Update your card details through this link.
spam,You are selected for a loan with instant approval. Apply now.
spam,Get rich quickly with our secret investment plan.
spam,Claim your tax refund now by verifying your bank information.
spam,We detected unusual activity. Log in now to secure your account.
spam,Receive free money today. Submit your details to get started.
spam,Exclusive job offer: earn money daily with no skills required.
spam,Your account is at risk. Click here and confirm your identity.
spam,You have won a cash prize. Pay a small fee to claim it.
spam,Make $1000 this week from your phone. Join now.
spam,Important notice: verify your account before midnight to avoid suspension.
spam,Free cryptocurrency waiting for you. Click to collect it now.
spam,Investment opportunity with guaranteed profits. Register immediately.
ham,The finance office will share scholarship details with students tomorrow.
ham,Please update your student profile on the official college portal.
ham,Your library books are due next Friday.
ham,The workshop registration desk opens at 9 AM on Saturday.
ham,Your online order has been delivered to the reception desk.
ham,The bank will be closed on the public holiday.
ham,Please contact the office if you need help with your account.
ham,The results will be published on the official website next week.
ham,Your project group meeting is scheduled for this evening.
ham,The college is hosting a free career guidance session for students.
spam,Final notice: authenticate your login credentials or account access will be terminated.
spam,Confirm your sign-in password now to avoid losing access to your profile.
spam,Account security warning: validate your login information immediately.
spam,Your profile will be disabled unless you verify your account details today.
ham,Make sure you carry your student identification card to enter the campus.
ham,Bring a valid college ID for event registration at the main gate.
ham,Students must show their identity card before entering the examination hall.
ham,Please keep your official ID card with you during the campus visit.
